content,date,dislikes,likes,press,title,userName
김희철 전에 아는형님에 나와서 절대아니라고 했으면서 그짓말했네ㅠㅠㅠㅠ 어쨌든 모모가 좋으면 나도 좋아ㅎㅎ,2020-01-02T02:42:20+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kang****
저포즈 프리메이슨 포즈임,2020-01-02T02:40:15+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",yung****
그럼 처음에 열애설 터졌을때 이미 사귀고 있었던거 아닌가...? 아형에서 이제 형들 놀리는것도 좀 잠잠하려나 ㅋㅋㅋㅋㅋ,2020-01-02T02:31:25+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",hear****
아... 희처리가...,2020-01-02T02:29:27+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",coco****
어쨋든 사나 아니라서 다행이다..ㅎㅎ,2020-01-02T02:03:04+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kcm7****
가세연에서 희철 기사 터진다고해서 걱정했는데 열애 기사네....난또 사고친줄... 이쁜 사랑하세요~좋을때다~욕하는 찌질이들 뭐냐? 청춘남녀가 연애도 못하냐?,2020-01-02T02:00:29+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",eun0****
달창들 공격 끔찍할텐데. ㅠ,2020-01-02T01:59:53+0000,0,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",benn****
저 손동작 보아하니 김희철도 거기였구나.... 문화계는 다 먹힌건가?,2020-01-02T08:01:05+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",m120****
꼰대들처럼  궁시렁거리지말고  응원해라. 다능력임,2020-01-02T08:00:27+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",hini****
조켓다~~~~ㅊㅋㅊㅋ,2020-01-02T07:57:16+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",thin****
하하하하하하하하하하하하하하하하하하하하하  댓글이 엉망진창일땐 성비를 봐라,2020-01-02T07:56:20+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ppor****
퇴근을 약 한 시간 남긴 이 시국.,2020-01-02T07:55:24+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",newl****
사나가 아니라서 괜찮아,2020-01-02T07:55:02+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kaya****
댓글 수준.. 다 처벌시켜야합니다.,2020-01-02T07:53:55+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",stoc****
잘 먹여살려라,2020-01-02T07:52:59+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",erae****
공개연애 축하합니다.,2020-01-02T07:52:59+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",sblu****
모모야 니가 뭐가아쉬워서 왜.....ㅠㅠㅠㅠㅠ,2020-01-02T04:46:48+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",anag****
한국남성들은 제발 다 일본남성과 결혼해주세요....  프레이 포 일녀 한녀....,2020-01-02T04:42:42+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",wind****
솔직히 둘이. 잘어울림,2020-01-02T04:37:14+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",bok3****
한남 일녀 좋지. 한녀들은 중국이나 과테말라 남으로..,2020-01-02T04:37:03+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ikur****
모모는 맨날 깨끗이 씻고 다녀야겟당~깔끔쟁이 희철이,2020-01-02T04:29:01+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",hsy4****
침대 위에서 잘할 것 같아,2020-01-02T04:05:00+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ligh****
역시 갓스시녀...,2020-01-02T03:56:20+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",lbj2****
왜 그렇게 나이차를 강조하나 몰라 우리나라는 쓸데없이 둘이 좋으면 그만인거지,2020-01-02T03:35:52+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",zeba****
그래서 어쩌라고  이딴기사질 연예뉴스에 올리고   이곳에서는 치워라  경제살릴 기사나 올려라,2020-01-02T02:51:57+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jues****
한녀랑 안섞이는것만도 인생 성공각인데 트와이스 모모라니 나라를 구했냐 희철이는ㅋ,2020-01-02T02:36:06+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",chin****
좋은사랑하세요. 기쁜소식이네요ㅋㅋ,2020-01-02T02:26:28+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",mybe****
정연아 빨리 말려! 모모 정신차리게 맛있는걸 입에 물려줘. 모모를 아저씨에게 줄 순 없다구!!,2020-01-02T07:30:15+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ammo****
중화티비 그렇게 보더닝 .... 중국인이 아니라?,2020-01-02T07:30:06+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",aa89****
ㅅㅂ 안돼~~,2020-01-02T07:29:16+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",9444****
희짱 스고이데스네~,2020-01-02T07:26:05+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",mini****
희철아 부럽다,2020-01-02T07:26:03+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kgv1****
트와는 연애가 자유롭네~~~ 다른 아이돌들은 소속사눈치보면서 썸만 타다 끝나는게 대부분~~,2020-01-02T07:24:45+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",yo67****
디스패치 일 안하네 이런거 어제발표해야되는거아님,2020-01-02T07:21:58+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ldmi****
남자의 특권 할배도 20살 물을수있다.심한가 30살 물을수있다.남자의 특권이지.,2020-01-02T07:18:25+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",wigo****
쉥긴게 꼭 한녀같다!!!!!!!!!!!!!!,2020-01-02T07:17:54+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",neva****
김치녀보다 스시녀가 훠어어얼씬 낫지 ㅋㅋㅋ 부럽다,2020-01-02T07:17:07+0000,0,0,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",leni****
대세는 일녀다 ㅠㅠ,2020-01-02T01:58:48+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",dk1k****
일본 여자 좋지~~~~~~오오오와하하하하하하. 이이네~키모찌 이이네네네,2020-01-02T01:51:56+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jenn****
일본 여자 좋지~~~~~~오오오와하하하하하하. 이이네~키모찌 이이네네네,2020-01-02T01:49:51+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",jenn****
스시녀에 13살연하 부럽다,2020-01-02T01:44:37+0000,2,2,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",tein****
김희철이라 다행이다 믿고 맡길수 있지,2020-01-02T08:24:37+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",kfcb****
한국 늙고 추한 노처녀들이 제일 거품물 커플이군 14살연하에 스시녀. 부럽다 희철아,2020-01-02T07:52:03+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",frea****
세계 어느나라를 가도  예쁜 여자 못생긴 여자 공존하는데 유일하게 일본 여잔 내 인생에 한 명도  예쁜  여자를 본 적이 없네  왜일까    정말 눈 씻고 찾아도 없다   어쩜 하나같이 못생겼지?,2020-01-02T07:49:26+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",lcr1****
이 시국에? 일본 여자랑? 토착왜구 인증ㅉㅉ,2020-01-02T07:21:31+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",gpff****
나이가 중요한거였어...희철이가 더 이쁘다능,2020-01-02T06:56:13+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",shin****
전라도 사람으로서 이 연애 반대합니다 !!,2020-01-02T06:56:03+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",asop****
한국년보단 낫지 잘 선택했다,2020-01-02T06:43:22+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ryuh****
모모야 대주지마,2020-01-02T02:23:04+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",ghdt****
이런말하기 좀 미안하지만 서로바빠서 언젠가는 헤어질듯..,2020-01-02T02:05:05+0000,1,1,연합뉴스,"슈주 김희철·트와이스 모모, 열애 인정… 13살차이 한일 커플",lee6****
